mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
Adolf_Schaerf_C,280600,1964166,CUDSS,PARTH,11,,0,0,9.13437,1037,76,24,11,4.44618e-14
Brigitta_C,286418,2004914,CUDSS,PARTH,9,,0,0,9.48314,1030,81,27,12,4.49695e-14
Brigitta_C,286418,2004914,CUDSS,PARTH,11,,0,0,9.54194,1062,79,25,11,4.50322e-14
Alexander_Olympias_CN,292158,2045126,CUDSS,PARTH,9,,0,0,8.69727,1080,80,23,11,4.53565e-14
Alexander_Olympias_CN,292158,2045126,CUDSS,PARTH,11,,0,0,8.76088,1129,85,23,11,4.53845e-14
Apollon_Daphne_C,294058,2058908,CUDSS,PARTH,9,,0,0,8.14805,1174,79,24,11,nan
Apollon_Daphne_C,294058,2058908,CUDSS,PARTH,11,,0,0,8.10076,1084,76,20,11,nan
Tennyson_Bust_Plaster,294944,2064592,CUDSS,PARTH,9,,0,0,8.16954,1063,68,6,24,4.53921e-14
Tennyson_Bust_Plaster,294944,2064592,CUDSS,PARTH,11,,0,0,8.14874,1231,66,9,23,4.54054e-14
Aloisus_C,302919,2120469,CUDSS,PARTH,9,,0,0,8.78637,1101,81,26,11,4.62764e-14
Aloisus_C,302919,2120469,CUDSS,PARTH,11,,0,0,8.75976,1154,76,23,11,4.62483e-14
Nursia_C,302971,2120797,CUDSS,PARTH,9,,0,0,8.81942,1155,83,27,13,4.63202e-14
Nursia_C,302971,2120797,CUDSS,PARTH,11,,0,0,8.84577,1197,77,25,12,4.62704e-14
Faun_C_1,304509,2131611,CUDSS,PARTH,9,,0,0,8.37195,1078,71,7,23,4.65412e-14
Faun_C_1,304509,2131611,CUDSS,PARTH,11,,0,0,8.35264,1108,66,7,21,4.64413e-14
Mach_C,305241,2136675,CUDSS,PARTH,9,,0,0,9.3258,1120,84,28,12,4.64783e-14
Mach_C,305241,2136675,CUDSS,PARTH,11,,0,0,9.31042,1140,83,24,12,4.64404e-14
Sphere8,393218,2752514,CUDSS,PARTH,9,,0,0,15.4589,1412,110,50,16,5.30756e-14
Sphere8,393218,2752514,CUDSS,PARTH,11,,0,0,15.4645,1463,120,48,16,5.30453e-14
BrainMid,396451,2775145,CUDSS,PARTH,9,,0,0,13.1541,1456,114,48,15,5.36052e-14
BrainMid,396451,2775145,CUDSS,PARTH,11,,0,0,13.2322,1532,113,46,15,5.35752e-14
Fiddler_Crab_manifold,455246,3186664,CUDSS,PARTH,9,,0,0,7.77174,1768,93,7,30,5.67277e-14
Fiddler_Crab_manifold,455246,3186664,CUDSS,PARTH,11,,0,0,7.77118,1834,87,9,27,5.66734e-14
Fiddler_Crab,455246,3186668,CUDSS,PARTH,9,,0,0,7.80335,1720,94,8,29,5.66842e-14
Fiddler_Crab,455246,3186668,CUDSS,PARTH,11,,0,0,7.77119,1918,91,22,26,5.66906e-14
Le_Transi_De_Rene_De_Chalon,494980,3465540,CUDSS,PARTH,9,,0,0,9.40278,2022,127,42,15,5.89774e-14
Le_Transi_De_Rene_De_Chalon,494980,3465540,CUDSS,PARTH,11,,0,0,9.39031,2053,121,39,12,5.90282e-14
elephant_zun-36_6_a_b-joined,516176,3605590,CUDSS,PARTH,9,,0,0,9.04213,1956,126,38,15,5.98935e-14
