G_N,G_NNZ,factor/matrix NNZ ratio,factor/metis factor,org factor/metis factor,ordering_time,analysis_time,factorization_time,solve_time,residual
120000,2228541,40.4863,1.7153,3.2422,56,-1,-1,-1,0
120000,2229063,40.9375,1.72383,3.2204,59,-1,-1,-1,0
120000,2229324,41.677,1.76352,3.23229,77,-1,-1,-1,0
120000,2212314,38.2246,1.62363,3.23565,60,-1,-1,-1,0
120000,2214537,41.6479,1.76225,3.24145,58,-1,-1,-1,0
120000,2215869,41.9007,1.756,3.21917,61,-1,-1,-1,0
120000,2218839,40.3047,1.69835,3.25092,69,-1,-1,-1,0
120000,2222223,41.2192,1.73357,3.26784,56,-1,-1,-1,0
120000,2225247,40.2525,1.63169,3.18221,58,-1,-1,-1,0
120000,2230800,42.4458,1.68978,3.25461,59,-1,-1,-1,0
120000,2238063,44.2913,1.77057,3.319,58,-1,-1,-1,0
120000,2244696,41.186,1.64155,3.34878,58,-1,-1,-1,0
120000,2250609,44.9522,1.7846,3.39049,63,-1,-1,-1,0
120000,2256225,43.6341,1.71248,3.38358,66,-1,-1,-1,0
120000,2262138,47.1323,1.81737,3.33047,81,-1,-1,-1,0
120000,2266314,43.6387,1.62588,3.22293,62,-1,-1,-1,0
120000,2271093,46.2467,1.78692,3.39735,58,-1,-1,-1,0
